ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,PAST_DUE_COUNT,CREDIT_INQUIRIES_6M,EXISTING_LOANS,ACCOUNT_AGE_MONTHS,APPROVED
37,M,Y,Y,0,24300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-7665,-4015,0,0,0,Cleaning staff,1,0,2,0,54,1
38,M,N,N,0,41900.0,Commercial associate,Lower secondary,Married,House / apartment,-25185,-8395,0,0,0,Other,2,1,1,0,55,1
39,F,Y,N,0,51400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19345,-11315,1,1,0,Drivers,1,1,3,1,49,1
40,M,N,Y,3,38400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-25185,-11680,0,0,1,Cleaning staff,4,1,0,0,58,0
41,M,N,Y,0,44800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20440,-13870,1,1,0,Laborers,1,0,0,2,19,1
42,F,Y,N,0,24500.0,Working,Secondary / secondary special,Married,House / apartment,-7665,-3285,0,0,1,Other,2,0,1,0,59,1
43,M,Y,Y,4,29900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14600,-7665,0,0,1,Drivers,6,2,0,1,6,0
44,F,N,N,0,62900.0,Working,Higher education,Single / not married,House / apartment,-15330,-4745,0,1,0,Laborers,1,3,1,2,31,1
45,M,N,Y,0,49800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20075,-1095,0,0,0,Drivers,2,1,0,2,23,0
46,F,Y,N,0,34700.0,Working,Secondary / secondary special,Married,House / apartment,-8395,-10220,0,0,0,Security staff,2,0,1,3,28,1
47,M,N,N,0,95000.0,Working,Higher education,Married,House / apartment,-11680,-1825,0,0,0,Accountants,2,0,3,0,35,1
48,F,Y,Y,0,26600.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-14235,0,1,0,Accountants,2,0,1,0,19,1
49,F,N,N,0,40900.0,Working,Secondary / secondary special,Married,Municipal apartment,-20805,-13870,0,0,0,Security staff,2,0,1,1,38,1
50,M,Y,N,0,38100.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12045,-8760,0,1,0,Cleaning staff,2,0,0,1,47,1
51,F,Y,N,0,66700.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-11680,-2555,1,0,0,Drivers,1,0,3,0,34,1
52,F,Y,Y,0,50200.0,Pensioner,Secondary / secondary special,Married,With parents,-8030,365243,0,1,0,Medicine staff,2,0,1,1,54,0
53,F,N,N,0,46400.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-14600,365243,0,1,0,Accountants,2,0,2,1,51,1
54,F,N,N,0,20000.0,Commercial associate,Lower secondary,Married,Municipal apartment,-7665,-1825,0,0,0,High skill tech staff,2,0,2,0,36,0
55,F,N,N,0,75500.0,Working,Secondary / secondary special,Married,House / apartment,-22265,-13505,0,1,0,High skill tech staff,2,0,0,0,3,1
56,F,Y,N,3,44000.0,Commercial associate,Higher education,Married,With parents,-20075,-9855,1,0,0,Accountants,5,1,1,0,51,1
57,M,Y,Y,0,51900.0,Commercial associate,Secondary / secondary special,Married,With parents,-16060,-11315,0,0,0,Cooking staff,2,0,2,2,2,1
58,M,Y,N,0,33700.0,Working,Secondary / secondary special,Married,House / apartment,-21170,-2920,0,0,0,Other,2,1,3,2,58,1
59,M,N,Y,1,31200.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16790,-12045,0,0,0,Sales staff,3,0,1,3,45,0
60,M,N,Y,0,103700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11315,-365,0,0,0,Cleaning staff,1,1,3,1,44,1
61,M,N,Y,1,20200.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-7665,0,1,0,Drivers,3,2,2,0,46,0
62,M,Y,Y,1,28900.0,Working,Lower secondary,Married,With parents,-12775,-13870,0,0,1,Other,3,1,0,1,38,0
63,F,N,Y,1,102800.0,Pensioner,Incomplete higher,Married,Rented apartment,-9490,365243,0,0,0,Core staff,3,0,1,0,37,1
64,M,Y,Y,1,67500.0,State servant,Secondary / secondary special,Widow,House / apartment,-21900,-730,1,0,1,Drivers,2,2,0,3,6,0
65,M,N,Y,0,41700.0,State servant,Secondary / secondary special,Married,Municipal apartment,-10585,-5475,0,0,0,Other,2,0,0,0,27,1
66,F,Y,N,1,91400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9490,-10585,0,0,0,Medicine staff,2,0,0,4,2,1
67,M,N,Y,0,61300.0,Commercial associate,Higher education,Married,Municipal apartment,-13505,-6570,0,1,0,Accountants,2,0,2,0,54,1
68,F,Y,Y,0,55100.0,Working,Secondary / secondary special,Married,House / apartment,-15695,-9125,1,1,0,Other,2,0,2,0,56,1
69,M,N,Y,3,54900.0,Working,Secondary / secondary special,Separated,Municipal apartment,-18615,-5475,0,1,1,Sales staff,4,1,0,1,34,1
70,F,N,Y,0,61900.0,State servant,Secondary / secondary special,Married,With parents,-13140,-7665,1,0,0,Accountants,2,1,2,0,13,0
71,F,N,Y,3,63100.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,-15330,-1825,0,0,0,Core staff,4,1,1,1,45,1
72,M,N,N,0,147000.0,Working,Secondary / secondary special,Civil marriage,With parents,-13140,-13140,1,1,0,Managers,2,0,0,0,28,1
73,M,N,N,0,44500.0,Working,Lower secondary,Single / not married,House / apartment,-23725,-1460,0,1,0,Cooking staff,1,0,3,1,23,1
74,F,N,N,0,45200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11680,-4745,0,0,0,Core staff,2,0,1,1,22,1
75,F,N,N,1,26400.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-10585,-8395,0,1,1,Accountants,2,0,1,4,3,1
76,F,Y,Y,0,47800.0,Working,Lower secondary,Married,House / apartment,-9490,-4745,0,0,1,Drivers,2,1,0,1,53,1
77,F,N,Y,0,124400.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-8760,-2920,0,1,0,Other,2,0,0,1,41,1
78,M,N,Y,0,80200.0,Working,Higher education,Separated,House / apartment,-21170,-14235,0,0,0,Security staff,1,0,3,2,19,1
79,M,Y,N,1,37400.0,Working,Secondary / secondary special,Married,House / apartment,-13505,-3650,1,1,1,Accountants,3,0,2,1,42,1
80,M,N,Y,0,49800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10950,365243,0,1,0,Core staff,2,0,1,3,13,1
81,F,Y,N,2,25600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21900,-10950,0,0,0,Managers,4,1,1,0,27,1
82,F,Y,Y,0,30200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20075,-8760,0,1,1,Sales staff,2,0,0,1,10,1
83,M,Y,Y,0,52800.0,Commercial associate,Secondary / secondary special,Married,With parents,-24455,-6935,0,0,0,Cooking staff,2,0,3,3,12,0
84,M,Y,N,0,38300.0,Working,Secondary / secondary special,Married,House / apartment,-14965,-10950,0,1,0,Core staff,2,0,0,1,43,1
85,M,N,N,3,29100.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-14235,365243,1,1,0,Core staff,5,1,1,0,56,0
86,M,N,N,0,62600.0,State servant,Higher education,Married,With parents,-17155,-13140,0,0,1,Medicine staff,2,1,2,2,41,0
87,F,N,N,0,47000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11315,-1825,0,1,0,High skill tech staff,2,1,0,2,49,1
88,F,N,N,1,22400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9490,-3650,1,0,0,Sales staff,2,4,2,0,56,0
89,F,Y,N,0,20000.0,Commercial associate,Secondary / secondary special,Married,With parents,-22265,-14235,0,0,1,Medicine staff,2,1,2,1,13,0
90,F,N,N,1,36900.0,Working,Higher education,Married,Rented apartment,-22995,-6570,1,0,0,Sales staff,3,0,2,1,21,1
91,M,N,Y,0,22200.0,State servant,Secondary / secondary special,Married,House / apartment,-17520,365243,0,0,1,Drivers,2,0,1,2,17,1
92,F,N,N,0,20000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-8395,-9490,1,1,0,Laborers,1,0,4,0,45,1
93,F,N,N,0,86200.0,Working,Secondary / secondary special,Civil marriage,Rented apartment,-22265,-7300,0,1,1,Laborers,2,0,0,0,2,1
94,F,N,Y,0,46700.0,Working,Incomplete higher,Single / not married,House / apartment,-23725,-4745,0,1,0,Cooking staff,1,1,1,2,19,1
95,F,N,N,1,42900.0,Commercial associate,Incomplete higher,Single / not married,Municipal apartment,-16060,-6935,0,0,1,Other,2,1,0,0,40,1
96,F,N,N,1,44600.0,Working,Secondary / secondary special,Married,Rented apartment,-20805,-12410,1,1,0,Core staff,3,0,0,0,6,1
97,F,Y,Y,0,27800.0,Pensioner,Higher education,Married,Rented apartment,-12045,365243,0,0,0,Cleaning staff,2,1,2,1,34,1
98,M,Y,Y,3,60200.0,Working,Secondary / secondary special,Married,With parents,-12775,-10950,1,0,1,Accountants,5,2,0,1,2,1
99,M,N,Y,0,45900.0,State servant,Secondary / secondary special,Married,House / apartment,-10585,-365,0,0,0,Laborers,2,2,2,0,2,0
100,M,N,N,0,33600.0,Working,Higher education,Married,House / apartment,-21535,-6205,0,1,0,Accountants,2,1,4,0,24,0
101,M,N,N,1,36200.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-20075,-7300,0,0,0,Cooking staff,2,1,0,1,23,0
102,F,N,Y,1,26500.0,Working,Secondary / secondary special,Married,House / apartment,-23725,-8760,0,0,1,Security staff,3,0,1,1,21,1
103,M,Y,Y,0,40000.0,Working,Secondary / secondary special,Married,House / apartment,-13870,-4380,1,0,0,Drivers,2,0,0,1,18,0
104,F,Y,Y,1,43500.0,Commercial associate,Higher education,Single / not married,House / apartment,-22995,-12775,0,0,1,Cleaning staff,2,0,1,0,26,1
105,F,N,N,0,39500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8395,-5840,0,0,0,Cleaning staff,1,1,0,6,54,0
106,M,N,Y,1,50400.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-4015,0,0,0,High skill tech staff,3,0,2,0,17,1
107,M,Y,Y,2,47100.0,Working,Secondary / secondary special,Widow,House / apartment,-13140,-7665,0,1,0,Other,3,0,0,1,40,0
108,F,N,N,1,55000.0,Working,Secondary / secondary special,Married,House / apartment,-22630,-8395,1,0,0,Cooking staff,3,0,0,0,51,1
109,M,N,Y,0,78600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22265,-5110,1,1,0,Cleaning staff,1,0,0,2,50,1
110,M,N,Y,1,65900.0,Pensioner,Incomplete higher,Separated,With parents,-24455,365243,0,1,0,Accountants,2,1,1,1,55,1
111,M,N,Y,1,79000.0,Working,Secondary / secondary special,Married,With parents,-22995,-730,1,1,0,Other,3,1,0,0,52,1
112,M,Y,Y,0,32100.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-15695,-6935,0,1,1,Medicine staff,2,1,0,1,20,1
113,F,N,Y,0,38000.0,Working,Incomplete higher,Single / not married,With parents,-18980,-9125,1,1,1,Cleaning staff,1,1,2,3,39,1
114,F,N,N,3,68000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10950,365243,0,0,0,Core staff,5,1,2,2,59,1
115,F,N,N,0,68600.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21170,365243,1,1,1,Core staff,1,0,0,2,52,1
116,F,Y,N,0,34900.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-21170,-14235,0,1,0,Security staff,2,1,0,4,27,0
117,F,N,N,0,66600.0,Pensioner,Incomplete higher,Single / not married,House / apartment,-12045,365243,0,0,1,High skill tech staff,1,0,1,1,14,1
118,M,Y,Y,1,30600.0,Pensioner,Secondary / secondary special,Single / not married,With parents,-12775,365243,1,1,0,Accountants,2,0,0,1,35,1
119,F,Y,Y,3,62400.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-14235,0,1,0,Other,5,1,0,2,21,1
120,F,N,Y,1,48400.0,Working,Secondary / secondary special,Married,House / apartment,-12045,-4745,0,0,1,Drivers,3,0,0,4,17,0
121,F,Y,N,0,24500.0,Working,Secondary / secondary special,Married,House / apartment,-20075,-6205,0,0,0,Laborers,2,0,1,2,15,1
122,F,N,N,1,39500.0,Working,Secondary / secondary special,Married,With parents,-8030,-3285,0,1,1,Medicine staff,3,1,1,0,59,1
123,M,Y,Y,1,146000.0,Commercial associate,Higher education,Separated,House / apartment,-7665,-12410,0,0,1,Laborers,2,0,0,4,46,1
124,M,N,Y,1,54300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22265,-5110,0,0,0,Laborers,3,0,0,1,52,1
125,M,Y,Y,0,154900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18980,-1095,0,1,0,Core staff,2,0,4,1,31,1
126,M,Y,Y,1,23800.0,Working,Higher education,Married,Rented apartment,-18250,-6570,0,1,0,Drivers,3,0,0,1,5,1
127,F,Y,N,0,71400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15330,365243,0,1,0,Managers,2,1,0,1,5,1
128,F,N,Y,0,20000.0,Working,Higher education,Married,With parents,-8760,-8030,0,1,0,Managers,2,0,3,2,56,1
129,M,N,N,0,49000.0,Working,Secondary / secondary special,Married,House / apartment,-24090,-7665,0,0,1,Laborers,2,0,0,1,24,1
130,F,Y,Y,4,67200.0,Student,Secondary / secondary special,Married,House / apartment,-16060,-7665,0,1,0,Laborers,6,1,1,2,55,0
131,M,N,N,0,74500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12410,-12045,0,0,1,Cooking staff,2,1,1,1,49,1
132,M,N,N,3,32900.0,Working,Secondary / secondary special,Married,House / apartment,-13505,-14235,0,0,0,Core staff,5,0,2,5,34,1
133,M,N,N,0,82400.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-12410,-3650,1,0,0,Core staff,2,1,1,0,23,1
134,M,Y,Y,1,37500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21900,365243,1,0,1,Laborers,3,0,2,3,6,0
135,F,N,Y,0,45200.0,Working,Secondary / secondary special,Married,House / apartment,-21535,-10950,1,0,0,Cooking staff,2,1,2,1,50,0
136,M,Y,Y,0,39500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22265,-9490,1,0,0,Cleaning staff,2,0,3,0,46,1
137,F,Y,Y,1,27800.0,State servant,Secondary / secondary special,Widow,House / apartment,-17155,-1460,0,1,0,Medicine staff,2,1,2,0,43,1
138,F,N,N,1,107500.0,Working,Secondary / secondary special,Single / not married,With parents,-14965,-10220,1,0,0,Sales staff,2,1,3,1,25,0
139,M,N,N,2,50200.0,Working,Secondary / secondary special,Married,House / apartment,-21900,-1460,1,1,0,Medicine staff,4,1,1,1,46,0
140,F,Y,Y,1,84400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-20075,-6205,1,0,0,Drivers,2,1,4,0,24,0
141,F,Y,Y,1,82600.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-10220,0,0,0,Cleaning staff,3,1,0,1,20,0
142,M,N,Y,2,30200.0,Working,Secondary / secondary special,Single / not married,Office apartment,-18615,-365,0,1,1,Other,3,0,4,0,2,1
143,F,N,N,0,90000.0,State servant,Secondary / secondary special,Widow,House / apartment,-19345,-4745,0,0,0,Sales staff,1,2,3,2,38,1
144,M,Y,N,0,63100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-25185,-8030,0,1,1,High skill tech staff,2,2,1,0,18,1
145,M,N,Y,0,29100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11315,-10220,1,1,0,Core staff,1,1,1,0,27,1
146,M,Y,Y,0,61400.0,Working,Higher education,Married,House / apartment,-13140,-13870,0,1,1,Cleaning staff,2,1,0,2,15,1
147,F,Y,N,1,29400.0,Commercial associate,Higher education,Civil marriage,Municipal apartment,-9490,-2555,0,0,1,Laborers,3,1,2,1,54,1
148,F,N,N,0,109500.0,Working,Secondary / secondary special,Married,House / apartment,-19710,-1095,1,0,1,Security staff,2,1,1,0,52,1
149,M,Y,Y,0,73600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22265,-13140,1,0,1,Sales staff,2,2,0,2,9,1
150,M,Y,N,0,47300.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-18980,365243,1,0,1,Accountants,2,0,1,1,20,1
151,F,N,N,1,92300.0,Working,Secondary / secondary special,Married,House / apartment,-14965,-13505,0,0,0,Security staff,3,1,3,0,40,1
152,M,N,N,0,22200.0,Student,Lower secondary,Single / not married,With parents,-17885,-10220,0,1,1,Managers,1,0,2,3,44,0
153,M,Y,N,0,33700.0,State servant,Secondary / secondary special,Married,House / apartment,-11315,-10220,1,0,1,Security staff,2,3,1,1,39,0
154,F,N,Y,1,43200.0,Working,Higher education,Single / not married,House / apartment,-9125,365243,0,0,0,Managers,2,0,1,4,57,1
155,F,N,N,1,149900.0,Working,Lower secondary,Civil marriage,House / apartment,-17155,-730,0,0,1,Core staff,3,0,0,0,22,1
156,M,Y,Y,0,28700.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-6570,0,1,0,High skill tech staff,2,1,1,2,58,0
157,F,N,Y,1,20900.0,Working,Secondary / secondary special,Married,House / apartment,-18615,-4745,1,1,1,Security staff,3,0,2,1,47,1
158,F,Y,Y,0,23800.0,Working,Secondary / secondary special,Widow,House / apartment,-11315,-11315,1,0,1,Sales staff,1,0,0,1,55,1
159,M,N,Y,3,77100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12045,-8030,0,1,0,Core staff,4,0,1,0,29,1
160,F,N,Y,0,36400.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-9125,0,1,0,Drivers,2,0,2,0,50,1
161,M,N,Y,4,45300.0,Working,Academic degree,Married,House / apartment,-9490,-6205,0,0,0,Accountants,6,2,1,0,50,1
162,F,Y,N,3,71800.0,Working,Lower secondary,Widow,House / apartment,-17155,-5110,0,1,0,Cleaning staff,4,0,1,1,25,1
163,F,N,N,2,45300.0,Working,Higher education,Married,House / apartment,-18250,-8760,1,0,0,High skill tech staff,4,0,1,0,58,1
164,F,N,Y,0,54300.0,Working,Higher education,Single / not married,Municipal apartment,-24820,-12775,0,0,1,Managers,1,0,2,0,54,1
165,M,Y,Y,0,64100.0,Working,Secondary / secondary special,Married,Co-op apartment,-14235,-13505,0,0,0,Security staff,2,0,0,0,42,1
166,F,Y,N,0,39500.0,State servant,Secondary / secondary special,Married,Rented apartment,-12410,-7665,0,0,0,Laborers,2,1,0,1,20,1
167,M,Y,Y,2,45100.0,Working,Secondary / secondary special,Civil marriage,With parents,-10585,-6205,0,1,0,Cooking staff,4,1,2,0,53,0
168,M,N,N,2,55300.0,State servant,Secondary / secondary special,Married,House / apartment,-23725,-4015,1,0,0,Laborers,4,1,3,1,40,1
169,M,N,Y,3,75700.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-9490,0,0,1,Accountants,5,0,1,1,49,1
170,F,Y,N,1,33000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17520,-6935,0,1,1,Drivers,3,0,0,0,56,0
171,F,N,Y,0,20000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24090,-5475,0,1,0,Managers,1,1,0,0,27,1
172,M,N,N,0,68900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16425,365243,0,0,0,Drivers,2,1,3,1,25,1
173,F,N,N,0,78000.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-3285,0,0,0,Sales staff,2,0,0,0,47,1
174,M,Y,N,0,54200.0,State servant,Secondary / secondary special,Married,House / apartment,-8760,-13870,0,1,0,Laborers,2,1,1,1,47,1
175,F,N,N,1,56100.0,Working,Secondary / secondary special,Married,Municipal apartment,-8395,-1460,0,1,1,Security staff,3,1,2,2,48,0
176,M,Y,Y,3,37000.0,Working,Secondary / secondary special,Married,House / apartment,-19710,-12410,0,1,0,Other,5,1,1,0,12,1
177,F,Y,N,1,62900.0,Working,Higher education,Separated,House / apartment,-14965,-5840,0,0,0,Drivers,2,0,1,2,18,1
178,M,N,Y,2,75100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13505,365243,1,0,1,Cooking staff,4,2,2,0,21,0
179,F,Y,N,2,50400.0,State servant,Higher education,Married,House / apartment,-21170,-1095,0,1,0,High skill tech staff,4,0,0,0,51,1
180,M,Y,Y,0,170400.0,Working,Secondary / secondary special,Married,Municipal apartment,-19710,-7665,0,0,0,Medicine staff,2,1,1,0,43,1
181,M,Y,N,0,22400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23360,365243,0,1,0,Cooking staff,2,0,0,1,31,1
182,M,Y,N,1,53200.0,Commercial associate,Higher education,Married,House / apartment,-11680,-10220,0,0,0,High skill tech staff,3,0,0,2,18,1
183,F,Y,Y,0,27300.0,Commercial associate,Higher education,Married,With parents,-16425,-5475,0,1,1,Cooking staff,2,0,2,0,42,1
184,F,N,Y,0,76100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14965,-8760,0,1,0,Sales staff,2,0,1,1,16,0
185,M,Y,Y,0,22200.0,Working,Secondary / secondary special,Single / not married,With parents,-13870,-5840,1,0,0,Medicine staff,1,0,0,1,20,1
186,F,Y,N,4,25200.0,Working,Higher education,Separated,House / apartment,-20440,-6205,0,1,0,Core staff,5,0,0,2,29,1
187,F,Y,Y,0,35700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9490,365243,0,0,0,Accountants,2,2,2,1,11,0
188,F,N,N,1,56000.0,Working,Higher education,Single / not married,House / apartment,-14600,-13140,0,0,0,High skill tech staff,2,0,1,1,3,1
189,F,N,N,2,36400.0,Pensioner,Higher education,Married,With parents,-14600,365243,1,1,0,Cleaning staff,4,2,2,2,8,1
190,M,Y,N,1,36600.0,Pensioner,Secondary / secondary special,Married,With parents,-18980,365243,1,1,1,Core staff,3,2,2,1,41,0
